#P I Flux Inorm
922 1199 0 0
923 1248 0 0
924 1218 0 0
925 1174 0 0
926 1248 0 0
927 1273 0 0
928 1296 0 0
929 1286 0 0
930 1246 0 0
931 1234 0 0
932 1256 0 0
933 1169 0 0
934 1231 0 0
935 1239 0 0
936 1293 0 0
937 1285 0 0
938 1245 0 0
939 1279 0 0
940 1292 0 0
941 1192 0 0
942 1244 0 0
943 1244 0 0
944 1309 0 0
945 1151 0 0
946 1226 0 0
947 1257 0 0
948 1223 0 0
949 1205 0 0
950 1255 0 0
951 1228 0 0
952 1208 0 0
953 1214 0 0
954 1238 0 0
955 1249 0 0
956 1293 0 0
957 1231 0 0
958 1244 0 0
959 1249 0 0
960 1266 0 0
961 1240 0 0
962 1203 0 0
963 1240 0 0
964 1324 0 0
965 1338 0 0
966 1288 0 0
967 1284 0 0
968 1206 0 0
969 1247 0 0
970 1244 0 0
971 1231 0 0
972 1174 0 0
973 1232 0 0
974 1225 0 0
975 1279 0 0
976 1248 0 0
977 1228 0 0
978 1235 0 0
979 1291 0 0
980 1233 0 0
981 1246 0 0
982 1229 0 0
983 1270 0 0
984 1238 0 0
985 1257 0 0
986 1220 0 0
987 1240 0 0
988 1305 0 0
989 1235 0 0
990 1278 0 0
991 1252 0 0
992 1226 0 0
993 1192 0 0
994 1305 0 0
995 1210 0 0
996 1191 0 0
997 1304 0 0
998 1233 0 0
999 1249 0 0
1000 1242 0 0
1001 1285 0 0
1002 1271 0 0
1003 1255 0 0
1004 1254 0 0
1005 1259 0 0
1006 1250 0 0
1007 1261 0 0
1008 1273 0 0
1009 1257 0 0
1010 1244 0 0
1011 1252 0 0
1012 1230 0 0
1013 1213 0 0
1014 1217 0 0
1015 1225 0 0
1016 1217 0 0
1017 1248 0 0
1018 1203 0 0
1019 1221 0 0
1020 1214 0 0
1021 1295 0 0
1022 1276 0 0
1023 1245 0 0
1024 1218 0 0
1025 1248 0 0
1026 1277 0 0
1027 1285 0 0
1028 1344 0 0
1029 1228 0 0
1030 1245 0 0
1031 1247 0 0
1032 1285 0 0
1033 1221 0 0
1034 1290 0 0
1035 1202 0 0
1036 1213 0 0
1037 1190 0 0
1038 1207 0 0
1039 1220 0 0
1040 1260 0 0
1041 1263 0 0
1042 1216 0 0
1043 1226 0 0
1044 1239 0 0
1045 1271 0 0
1046 1235 0 0
1047 1238 0 0
1048 1254 0 0
1049 1253 0 0
1050 1179 0 0
1051 1228 0 0
1052 1307 0 0
1053 1191 0 0
1054 1312 0 0
1055 1217 0 0
1056 1239 0 0
1057 1297 0 0
1058 1217 0 0
1059 1251 0 0
1060 1226 0 0
1061 1273 0 0
1062 1309 0 0
1063 1212 0 0
1064 1293 0 0
1065 1248 0 0
1066 1251 0 0
1067 1231 0 0
1068 1270 0 0
1069 1295 0 0
1070 1216 0 0
1071 1258 0 0
1072 1226 0 0
1073 1295 0 0
1074 1245 0 0
1075 1292 0 0
1076 1296 0 0
1077 1210 0 0
1078 1265 0 0
1079 1272 0 0
1080 1321 0 0
1081 1263 0 0
1082 1219 0 0
1083 1196 0 0
1084 1236 0 0
1085 1273 0 0
1086 1259 0 0
1087 1258 0 0
1088 1301 0 0
1089 1276 0 0
1090 1257 0 0
1091 1258 0 0
1092 1269 0 0
1093 1246 0 0
1094 1213 0 0
1095 1293 0 0
1096 1272 0 0
1097 1252 0 0
1098 1258 0 0
1099 1222 0 0
